"","ensembl_gene_id_version","external_gene_name","ensembl_gene_id"
"32670","ENSG00000286275.1","","ENSG00000286275"
"32671","ENSG00000286289.1","","ENSG00000286289"
"32672","ENSG00000286295.1","","ENSG00000286295"
"32673","ENSG00000286332.1","","ENSG00000286332"
"32674","ENSG00000286344.1","","ENSG00000286344"
"32675","ENSG00000286359.1","","ENSG00000286359"
"32676","ENSG00000286373.1","","ENSG00000286373"
"32677","ENSG00000286375.1","","ENSG00000286375"
"32678","ENSG00000286382.1","","ENSG00000286382"
"32679","ENSG00000286401.1","","ENSG00000286401"
"32680","ENSG00000286409.2","","ENSG00000286409"
"32681","ENSG00000286413.1","","ENSG00000286413"
"32682","ENSG00000286414.1","","ENSG00000286414"
"32683","ENSG00000286428.1","","ENSG00000286428"
"32684","ENSG00000286439.1","","ENSG00000286439"
"32685","ENSG00000286442.1","","ENSG00000286442"
"32686","ENSG00000286445.1","","ENSG00000286445"
"32687","ENSG00000286451.1","","ENSG00000286451"
"32688","ENSG00000286489.1","","ENSG00000286489"
"32689","ENSG00000286502.1","","ENSG00000286502"
"32690","ENSG00000286514.1","","ENSG00000286514"
"32691","ENSG00000286521.1","","ENSG00000286521"
"32692","ENSG00000286536.1","","ENSG00000286536"
"32693","ENSG00000286547.1","","ENSG00000286547"
"32694","ENSG00000286561.1","","ENSG00000286561"
"32695","ENSG00000286575.1","","ENSG00000286575"
"32696","ENSG00000286609.1","","ENSG00000286609"
"32697","ENSG00000286610.1","","ENSG00000286610"
"32698","ENSG00000286612.1","","ENSG00000286612"
"32699","ENSG00000286626.2","","ENSG00000286626"
"32700","ENSG00000286683.1","","ENSG00000286683"
"32701","ENSG00000286687.1","","ENSG00000286687"
"32702","ENSG00000286694.1","","ENSG00000286694"
"32703","ENSG00000286715.1","","ENSG00000286715"
"32704","ENSG00000286718.2","","ENSG00000286718"
"32705","ENSG00000286789.1","","ENSG00000286789"
"32706","ENSG00000286795.1","","ENSG00000286795"
"32707","ENSG00000286810.1","","ENSG00000286810"
"32708","ENSG00000286823.1","","ENSG00000286823"
"32709","ENSG00000286832.1","","ENSG00000286832"
"32710","ENSG00000286834.1","","ENSG00000286834"
